Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

11时37分52秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11时39分33秒 251110176 256072680   5378428      2.04     83684   6435532   9946820      3.74   3155048   8094912         4
11时39分34秒 251107616 256070128   5380964      2.04     83684   6435532   9946848      3.74   3155040   8094936         8
11时39分35秒 251108876 256071388   5379664      2.04     83684   6435556   9946872      3.74   3155044   8094932         8
11时39分36秒 251107592 256070104   5380900      2.04     83684   6435580   9946872      3.74   3155052   8095052        12
11时39分37秒 251107832 256070332   5380656      2.04     83684   6435564   9946908      3.74   3155028   8095108        20
11时39分38秒 251110076 256072572   5378388      2.04     83692   6435580   9942852      3.74   3155024   8091108        60
11时39分39秒 251110596 256073092   5376832      2.04     83692   6436608   9943500      3.74   3155036   8091100        60
11时39分40秒 251112564 256075072   5374760      2.04     83692   6436680   9943516      3.74   3155028   8091148        60
11时39分41秒 251114084 256076592   5373220      2.04     83692   6436700   9943528      3.74   3155024   8091316        60
11时39分42秒 251114132 256076624   5373192      2.04     83692   6436712   9943540      3.74   3155036   8091300        64
11时39分43秒 251112908 256075428   5374344      2.04     83700   6436720   9943544      3.74   3155032   8091388         4
11时39分44秒 251111892 256074416   5375348      2.04     83700   6436724   9943568      3.74   3155036   8091416         8
11时39分45秒 251112136 256074672   5375068      2.04     83700   6436744   9943584      3.74   3155044   8091544         8
11时39分46秒 251114136 256076688   5373012      2.04     83700   6436784   9943612      3.74   3155040   8091948        20
11时39分47秒 251114648 256077200   5372436      2.04     83700   6436848   9943940      3.74   3155052   8091976        20
11时39分48秒 251115632 256078200   5370704      2.04     83708   6437552   9944392      3.74   3155048   8092228         0
11时39分49秒 251114136 256076696   5372184      2.04     83708   6437584   9944416      3.74   3155056   8092240         8
11时39分50秒 251115136 256077696   5371160      2.04     83708   6437592   9944432      3.74   3155052   8092296         8
11时39分51秒 251115144 256077704   5371140      2.04     83708   6437612   9944452      3.74   3155060   8092288         8
11时39分52秒 251114120 256076676   5372140      2.04     83708   6437628   9944476      3.74   3155048   8092348         8
11时39分53秒 251114468 256077032   5371872      2.04     83716   6437636   9944492      3.74   3155068   8092312        32
11时39分54秒 251115736 256078288   5370608      2.04     83716   6437628   9944496      3.74   3155052   8092348       216
11时39分55秒 251114460 256077016   5371880      2.04     83716   6437632   9944512      3.74   3155044   8092412       224
11时39分56秒 251114964 256077516   5371044      2.04     83716   6437964   9944860      3.74   3155040   8092796        20
11时39分57秒 251114728 256077284   5371040      2.04     83716   6438204   9945160      3.74   3155044   8093084        20
11时39分58秒 251113756 256076320   5371924      2.04     83724   6438284   9945172      3.74   3155044   8093864        48
11时39分59秒 251112000 256074560   5373660      2.04     83724   6438304   9945188      3.74   3155060   8093340         4
11时40分00秒 251112504 256075064   5373140      2.04     83724   6438320   9945216      3.74   3155052   8093352         8
11时40分01秒 251111488 256074048   5374120      2.04     83724   6438356   9945272      3.74   3155060   8093372         8
11时40分02秒 251111740 256074308   5373836      2.04     83732   6438380   9945292      3.74   3155048   8093396        16
11时40分03秒 251110496 256072560   5375564      2.04     83732   6437900   9945300      3.74   3152536   8095412      3072
11时40分04秒 251111748 256074312   5373800      2.04     83736   6438408   9945320      3.74   3155048   8093420         0
11时40分05秒 251110960 256073532   5374332      2.04     83736   6438664   9945696      3.74   3155064   8093652         4
11时40分06秒 251112756 256075328   5372200      2.04     83736   6438992   9945972      3.74   3155056   8093876         4
11时40分07秒 251108984 256071560   5375888      2.04     83744   6439068   9945996      3.74   3155064   8094352        60
11时40分08秒 251110244 256072828   5374600      2.04     83744   6439088   9946004      3.74   3155052   8094476        64
11时40分09秒 251108760 256071344   5376032      2.04     83744   6439124   9946036      3.74   3155064   8094460        64
11时40分10秒 251106972 256069556   5377804      2.04     83744   6439124   9946044      3.74   3155064   8094468         4
11时40分11秒 251107728 256070316   5377040      2.04     83744   6439132   9946052      3.74   3155072   8094484         8
11时40分12秒 251108744 256071308   5376040      2.04     83744   6439112   9946060      3.74   3155048   8094496        20
11时40分13秒 251109484 256072052   5375288      2.04     83752   6439116   9946284      3.74   3155052   8094512        56
11时40分14秒 251109264 256071836   5374944      2.04     83752   6439696   9946664      3.74   3155044   8094644        56
11时40分15秒 251110028 256072600   5374176      2.04     83752   6439700   9946696      3.74   3155056   8094684         4
11时40分16秒 251110240 256072812   5373900      2.04     83752   6439732   9946728      3.74   3155044   8094696         8
11时40分17秒 251111004 256073584   5373092      2.04     83752   6439776   9946748      3.74   3155064   8095212         8
11时40分18秒 251110484 256073072   5373572      2.04     83760   6439804   9946772      3.74   3155060   8095256        32
11时40分19秒 251110736 256073324   5373316      2.04     83760   6439808   9946780      3.74   3155072   8095248        32
11时40分20秒 251109224 256071812   5374772      2.04     83760   6439860   9946836      3.74   3155064   8095260         8
11时40分21秒 251108468 256071032   5375544      2.04     83760   6439844   9946848      3.74   3155048   8095264        20
11时40分22秒 251109980 256072548   5374024      2.04     83760   6439848   9947044      3.74   3155048   8095284        20
11时40分23秒 251108452 256071024   5375084      2.04     83768   6440296   9947324      3.74   3155056   8095384        48
11时40分24秒 251092344 256054916   5391156      2.05     83768   6440304   9949408      3.74   3155056   8113496        60
11时40分25秒 251092840 256055412   5390628      2.05     83768   6440328   9949432      3.74   3155064   8113644         4
11时40分26秒 251090800 256053376   5392620      2.05     83768   6440352   9949456      3.74   3155060   8113400        12
11时40分27秒 251090792 256053368   5392572      2.05     83768   6440400   9949508      3.74   3155068   8113892        12
11时40分28秒 251091028 256053608   5392312      2.05     83776   6440408   9949516      3.74   3155056   8113920        76
11时40分29秒 251109456 256071992   5373908      2.04     83780   6440404   9947456      3.74   3155044   8096156       100
11时40分30秒 251109456 256072020   5373896      2.04     83780   6440408   9947656      3.74   3155044   8096400       100
11时40分31秒 251110004 256072568   5372912      2.04     83780   6440844   9947912      3.74   3155056   8096540       100
11时40分32秒 251109248 256071812   5373652      2.04     83780   6440844   9947916      3.74   3155048   8096548       100
11时40分33秒 251110232 256072804   5372636      2.04     83788   6440848   9947920      3.74   3155060   8096564       124
11时40分34秒 251108152 256070752   5374636      2.04     83788   6440856   9947924      3.74   3155048   8096588       128
11时40分35秒 251108128 256070732   5374640      2.04     83788   6440860   9947928      3.74   3155064   8096588       128
11时40分36秒 251108640 256071244   5374124      2.04     83788   6440864   9947936      3.74   3155056   8096096         4
11时40分37秒 251108144 256070712   5374652      2.04     83788   6440840   9947940      3.74   3155036   8096092        20
11时40分38秒 251108744 256071332   5374148      2.04     83796   6440840   9948080      3.74   3155036   8096412       100
11时40分39秒 251108988 256071580   5373676      2.04     83796   6441068   9948416      3.74   3155048   8096436       100
11时40分40秒 251109776 256072360   5372676      2.04     83796   6441296   9948420      3.74   3155040   8096548       100
11时40分41秒 251109272 256071856   5373176      2.04     83796   6441300   9948428      3.74   3155048   8096552         4
11时40分42秒 251111216 256073836   5371156      2.04     83796   6441300   9948432      3.74   3155040   8096608         8
11时40分43秒 251110760 256073364   5371644      2.04     83804   6441308   9948456      3.74   3155048   8096620        32
11时40分44秒 251109508 256072112   5372872      2.04     83804   6441332   9948468      3.74   3155044   8096660        32
11时40分45秒 251110224 256072852   5372100      2.04     83804   6441348   9948476      3.74   3155056   8096732        36
11时40分46秒 251110444 256073088   5371844      2.04     83804   6441352   9948584      3.74   3155048   8096780         8
11时40分47秒 251108916 256071520   5373308      2.04     83804   6441416   9948616      3.74   3155008   8096928        20
11时40分48秒 251108940 256071536   5373068      2.04     83812   6441656   9948952      3.74   3155012   8097300        56
11时40分49秒 251108688 256071296   5373224      2.04     83812   6441732   9948956      3.74   3155024   8097304        56
11时40分50秒 251110444 256073052   5371420      2.04     83812   6441764   9948968      3.74   3155016   8097352        56
11时40分51秒 251110696 256073304   5371168      2.04     83812   6441764   9948964      3.74   3155020   8097348         4
11时40分52秒 251111048 256073660   5370808      2.04     83812   6441764   9948964      3.74   3155016   8097352         8
11时40分53秒 251110284 256072904   5371560      2.04     83820   6441764   9948984      3.74   3155028   8097352        32
11时40分54秒 251108772 256071396   5373040      2.04     83820   6441780   9949012      3.74   3155024   8097372        32
