Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

10时26分03秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
10时27分42秒 254038700 257718172   3833192      1.45     77388   5101420   8356032      3.15   1982820   6406428        60
10时27分43秒 254034588 257714060   3837228      1.46     77388   5101496   8357164      3.15   1982820   6409096        60
10时27分44秒 254046284 257728992   3822208      1.45     77396   5104712   8314932      3.13   1986004   6373388       196
10时27分45秒 254048772 257731480   3819752      1.45     77396   5104720   8332788      3.14   1986000   6380060        64
10时27分46秒 254047860 257730568   3820472      1.45     77396   5104944   8332988      3.14   1986000   6386716        64
10时27分47秒 254051568 257734276   3816652      1.45     77396   5105064   8339440      3.14   1986000   6389904        64
10时27分48秒 254035824 257718532   3832196      1.45     77396   5105264   8355136      3.14   1986008   6406220        64
10时27分49秒 254031344 257714060   3836644      1.46     77404   5105288   8355672      3.14   1986012   6408452        64
10时27分50秒 254043408 257729340   3821260      1.45     77404   5108496   8309000      3.13   1989148   6370848       148
10时27分51秒 254043216 257729156   3821420      1.45     77404   5108520   8328028      3.13   1989160   6373848        68
10时27分52秒 254044848 257730804   3819608      1.45     77404   5108668   8328176      3.13   1989156   6381992        68
10时27分53秒 254049156 257735108   3815220      1.45     77404   5108756   8337608      3.14   1989160   6386216        68
10时27分54秒 254034940 257720900   3829368      1.45     77412   5108824   8351080      3.14   1989176   6401360        68
10时27分55秒 254030972 257716932   3833248      1.45     77412   5108912   8351400      3.14   1989184   6404692        68
10时27分56秒 254032580 257718528   3831680      1.45     77412   5108968   8351436      3.14   1989172   6405124        68
10时27分57秒 254044440 257733576   3816552      1.45     77412   5112156   8302652      3.12   1992296   6361188        68
10时27分58秒 254046872 257736012   3814116      1.45     77412   5112160   8322380      3.13   1992288   6370636        36
10时27分59秒 254057804 257746952   3803004      1.44     77420   5112316   8307124      3.13   1992308   6360424        52
10时28分00秒 254038420 257727568   3822316      1.45     77420   5112372   8349948      3.14   1992316   6396184        52
10时28分01秒 254031964 257721112   3828728      1.45     77420   5112400   8349988      3.14   1992304   6401956        52
10时28分02秒 254032136 257721284   3828528      1.45     77420   5112432   8349992      3.14   1992304   6403180        52
10时28分03秒 254041728 257730880   3818944      1.45     77420   5112444   8314536      3.13   1992304   6375800        56
10时28分04秒 254040688 257733032   3816712      1.45     77428   5115596   8328868      3.13   1995444   6369356        56
10时28分05秒 254039444 257731796   3817848      1.45     77428   5115688   8329068      3.13   1995444   6381504        56
10时28分06秒 254048004 257740356   3809188      1.45     77428   5115788   8335956      3.14   1995440   6381172        56
10时28分07秒 254034428 257726744   3822756      1.45     77428   5115868   8348652      3.14   1995448   6397604        56
10时28分08秒 254030932 257723248   3826200      1.45     77428   5115888   8348892      3.14   1995444   6400708        60
10时28分09秒 254038640 257731460   3817932      1.45     77436   5116440   8302372      3.12   1995968   6369404       564
10时28分10秒 254041372 257736868   3812464      1.45     77436   5119064   8324744      3.13   1998560   6364640        60
10时28分11秒 254040680 257736144   3813168      1.45     77436   5119116   8325060      3.13   1998556   6375656        60
10时28分12秒 254046816 257742280   3806912      1.44     77436   5119220   8336476      3.14   1998572   6380776        60
10时28分13秒 254026112 257721580   3827440      1.45     77436   5119388   8351960      3.14   1998564   6402088        20
10时28分14秒 254022444 257717916   3830920      1.45     77444   5119568   8352404      3.14   1998572   6404404        56
10时28分15秒 254020868 257716348   3832316      1.45     77444   5119740   8352552      3.14   1998588   6405184        56
10时28分16秒 254030412 257729076   3819484      1.45     77444   5122924   8311592      3.13   2001700   6370828       140
10时28分17秒 254034216 257732876   3815684      1.45     77444   5122920   8329976      3.14   2001704   6376932       140
10时28分18秒 254033500 257732160   3816300      1.45     77444   5123060   8330024      3.14   2001696   6383472        60
10时28分19秒 254025096 257723760   3824652      1.45     77452   5123096   8351552      3.14   2001688   6397952        64
10时28分20秒 254020024 257718696   3829656      1.45     77452   5123132   8352140      3.14   2001708   6402740        64
10时28分21秒 254029096 257730948   3817312      1.45     77452   5126288   8309084      3.13   2004820   6371636       144
10时28分22秒 254032396 257734236   3814032      1.45     77452   5126284   8328344      3.13   2004828   6371552        64
10时28分23秒 254031192 257733032   3815036      1.45     77452   5126524   8328788      3.13   2004832   6380784        64
10时28分24秒 254033568 257735416   3812404      1.45     77460   5126772   8338724      3.14   2004828   6386036        64
10时28分25秒 254017212 257719060   3828712      1.45     77460   5126820   8351464      3.14   2004836   6402440        68
10时28分26秒 254026448 257728300   3819384      1.45     77460   5126904   8326228      3.13   2004836   6383160        68
10时28分27秒 254024904 257729944   3817672      1.45     77464   5130060   8331584      3.14   2007948   6373328       120
10时28分28秒 254024512 257729552   3817904      1.45     77464   5130220   8331876      3.14   2007956   6382664        68
10时28分29秒 254032988 257738036   3809312      1.45     77472   5130348   8337264      3.14   2007960   6382056        72
10时28分30秒 254018276 257723324   3823960      1.45     77472   5130412   8350116      3.14   2007956   6398364        76
10时28分31秒 254013744 257718792   3828464      1.45     77472   5130440   8350524      3.14   2007956   6402224        76
10时28分32秒 254021644 257729876   3817248      1.45     77472   5133620   8334448      3.14   2011072   6375136        76
10时28分33秒 254024848 257733068   3814028      1.45     77472   5133620   8330028      3.14   2011072   6378388        76
10时28分34秒 254029912 257738140   3808704      1.44     77488   5133864   8335088      3.14   2011076   6378528        44
10时28分35秒 254020636 257728872   3817932      1.45     77488   5133904   8348744      3.14   2011072   6393584        52
10时28分36秒 254017884 257726124   3820656      1.45     77488   5133940   8348764      3.14   2011096   6401020        56
10时28分37秒 254016528 257724768   3821980      1.45     77488   5133964   8348796      3.14   2011100   6402880        56
10时28分38秒 254020804 257732204   3814472      1.45     77488   5137100   8331060      3.14   2014184   6368780       112
10时28分39秒 254023844 257735256   3811364      1.45     77500   5137108   8327216      3.13   2014196   6374308        68
10时28分40秒 254028640 257740052   3806464      1.44     77500   5137204   8336924      3.14   2014204   6381164        68
10时28分41秒 254017648 257729072   3817324      1.45     77500   5137280   8346240      3.14   2014192   6393228        72
10时28分42秒 254012844 257724268   3822088      1.45     77500   5137288   8346692      3.14   2014200   6398956        72
10时28分43秒 254011204 257722628   3823700      1.45     77504   5137312   8346696      3.14   2014204   6399864        72
10时28分44秒 254015608 257730136   3816624      1.45     77508   5139912   8311448      3.13   2017072   6368988        92
10时28分45秒 254016072 257730588   3815664      1.45     77508   5140440   8332396      3.14   2017084   6379944        96
10时28分46秒 254029964 257744512   3801420      1.44     77508   5140760   8309648      3.13   2017284   6363740        24
10时28分47秒 254016780 257731328   3814564      1.45     77516   5140776   8344188      3.14   2017280   6391524       132
10时28分48秒 254012796 257727356   3818548      1.45     77516   5140776   8344648      3.14   2017284   6396912       132
10时28分49秒 254012772 257727332   3818564      1.45     77516   5140784   8345016      3.14   2017292   6397544       128
10时28分50秒 254011676 257726236   3819656      1.45     77516   5140788   8358352      3.15   2017288   6396556       128
10时28分51秒 254019024 257736716   3809100      1.45     77516   5143868   8326304      3.13   2020356   6362972       136
10时28分52秒 254019008 257736700   3809016      1.45     77516   5143968   8326892      3.13   2020364   6378060       136
10时28分53秒 254017936 257735628   3809968      1.45     77524   5144080   8339116      3.14   2020348   6383916       136
10时28分54秒 254007564 257725264   3820292      1.45     77524   5144128   8350716      3.14   2020364   6400852       136
10时28分55秒 254004436 257722136   3823368      1.45     77524   5144180   8350716      3.14   2020368   6403704       136
10时28分56秒 254003672 257721372   3824112      1.45     77524   5144200   8351064      3.14   2020368   6403920       136
10时28分57秒 254003160 257723996   3821404      1.45     77524   5147340   8319500      3.13   2023440   6381784       160
10时28分58秒 254007784 257728632   3816772      1.45     77532   5147340   8334132      3.14   2023460   6383336       160
10时28分59秒 254007428 257728276   3816816      1.45     77532   5147652   8334172      3.14   2023440   6387188       140
10时29分00秒 254006672 257727520   3817532      1.45     77532   5147692   8348180      3.14   2023464   6395128       140
10时29分01秒 254002476 257723324   3821824      1.45     77532   5147700   8348660      3.14   2023456   6400908       140
10时29分02秒 253999712 257720560   3824564      1.45     77532   5147724   8348660      3.14   2023452   6402108       140
10时29分03秒 254002380 257726380   3818664      1.45     77540   5150836   8331368      3.14   2026548   6366364       144
10时29分04秒 254004980 257728980   3816084      1.45     77540   5150816   8327092      3.13   2026528   6374980       144
10时29分05秒 254010352 257734352   3810408      1.45     77540   5151120   8337620      3.14   2026532   6380048       112
10时29分06秒 253997784 257721784   3823040      1.45     77540   5151144   8349144      3.14   2026540   6395572       116
10时29分07秒 253993524 257717520   3827292      1.45     77540   5151160   8350212      3.14   2026556   6401356       116
10时29分08秒 253996792 257723928   3820848      1.45     77552   5154244   8315788      3.13   2029628   6374520       148
10时29分09秒 253998956 257726092   3818664      1.45     77552   5154256   8331356      3.14   2029624   6380156       148
10时29分10秒 254009148 257736284   3808336      1.44     77552   5154392   8310940      3.13   2029640   6364612       140
10时29分11秒 254000280 257727416   3817156      1.45     77552   5154424   8347092      3.14   2029632   6395232       140
10时29分12秒 253995484 257722620   3821924      1.45     77552   5154444   8347680      3.14   2029628   6399364       140
10时29分13秒 253996436 257727108   3817932      1.45     77560   5157468   8308660      3.13   2032656   6372484       144
10时29分14秒 253998028 257728300   3816168      1.45     77560   5157532   8326432      3.13   2032692   6376220       144
10时29分15秒 253998768 257729024   3815420      1.45     77560   5157572   8326480      3.13   2032692   6379192       144
10时29分16秒 253994832 257725088   3819320      1.45     77560   5157648   8349936      3.14   2032700   6395132       144
10时29分17秒 253990068 257720324   3824040      1.45     77560   5157692   8350248      3.14   2032700   6402968       144
10时29分18秒 253989444 257722824   3821468      1.45     77568   5160800   8312372      3.13   2035764   6377324       152
10时29分19秒 253993492 257726880   3817424      1.45     77568   5160796   8329780      3.14   2035768   6376328       152
10时29分20秒 253993208 257726596   3817656      1.45     77568   5160848   8330484      3.14   2035772   6383736        28
10时29分21秒 254002216 257735604   3808620      1.44     77568   5160876   8337572      3.14   2035780   6386268        28
10时29分22秒 253992836 257726224   3817960      1.45     77568   5160916   8344660      3.14   2035768   6396512        28
10时29分23秒 253989440 257722828   3821332      1.45     77576   5160928   8344936      3.14   2035780   6398336        60
10时29分24秒 253991812 257728740   3815908      1.45     77576   5163980   8303708      3.13   2038808   6369708        64
10时29分25秒 253997136 257733644   3810420      1.45     77576   5164024   8325576      3.13   2038828   6373628        60
10时29分26秒 253996632 257733140   3810808      1.45     77576   5164140   8325744      3.13   2038832   6378948        60
10时29分27秒 253993772 257730280   3813588      1.45     77584   5164212   8346888      3.14   2038828   6393008        60
10时29分28秒 253990620 257727128   3816704      1.45     77584   5164240   8346916      3.14   2038828   6398508        60
10时29分29秒 253988132 257724652   3819128      1.45     77584   5164304   8346976      3.14   2038824   6399908        64
10时29分30秒 253989580 257729188   3814524      1.45     77584   5167392   8300608      3.12   2041880   6367360       564
10时29分31秒 253992628 257732236   3811452      1.45     77584   5167384   8323084      3.13   2041872   6372292        68
10时29分32秒 253993896 257733504   3810012      1.45     77584   5167556   8323144      3.13   2041872   6375684        68
10时29分33秒 253989132 257728748   3814616      1.45     77592   5167708   8345936      3.14   2041876   6391900        68
10时29分34秒 253987612 257727228   3816068      1.45     77592   5167776   8346228      3.14   2041864   6396056        68
10时29分35秒 253984752 257724372   3818792      1.45     77592   5167896   8346508      3.14   2041872   6399168        40
10时29分36秒 253981696 257721316   3821724      1.45     77592   5168012   8357360      3.15   2041868   6398184        44
10时29分37秒 253985304 257728004   3814980      1.45     77592   5171052   8333536      3.14   2044880   6375044        44
10时29分38秒 253984272 257726984   3816004      1.45     77604   5171096   8333528      3.14   2044904   6385416        64
10时29分39秒 253991844 257734556   3808388      1.44     77604   5171148   8338188      3.14   2044904   6382744        64
10时29分40秒 253983764 257726480   3816456      1.45     77604   5171160   8343696      3.14   2044904   6395008        68
10时29分41秒 253981676 257724392   3818540      1.45     77604   5171164   8343708      3.14   2044912   6398100        68
10时29分42秒 253986480 257729196   3813716      1.45     77608   5171180   8323700      3.13   2044896   6381656        68
10时29分43秒 253986772 257732544   3810300      1.45     77612   5174208   8323036      3.13   2047912   6363504        72
10时29分44秒 253986016 257731800   3810984      1.45     77612   5174280   8323396      3.13   2047924   6373876        72
10时29分45秒 253990032 257735816   3806876      1.44     77612   5174372   8336584      3.14   2047920   6381428        72
10时29分46秒 253981512 257727296   3815372      1.45     77612   5174388   8344104      3.14   2047924   6393828        72
10时29分47秒 253976684 257722468   3820196      1.45     77612   5174392   8344112      3.14   2047940   6397644        72
10时29分48秒 253976000 257721792   3820868      1.45     77620   5174396   8344124      3.14   2047924   6398108        72
10时29分49秒 253975724 257721516   3821128      1.45     77620   5174404   8359620      3.15   2047928   6401108        72
10时29分50秒 253981852 257730712   3811964      1.45     77620   5177436   8323276      3.13   2050928   6361100        80
10时29分51秒 253980528 257729388   3813228      1.45     77620   5177496   8323752      3.13   2050920   6375028        80
10时29分52秒 253983324 257732184   3810376      1.45     77620   5177552   8337876      3.14   2050924   6383624        80
10时29分53秒 253976064 257724932   3817616      1.45     77628   5177580   8344696      3.14   2050936   6394956        80
10时29分54秒 253972276 257721144   3821404      1.45     77628   5177580   8344912      3.14   2050936   6397328        80
10时29分55秒 253974456 257726380   3816100      1.45     77628   5180608   8309668      3.13   2053932   6374044       544
10时29分56秒 253977740 257729664   3812820      1.45     77628   5180604   8326964      3.13   2053920   6374372        32
10时29分57秒 253976668 257728592   3813772      1.45     77628   5180724   8327600      3.13   2053936   6379680        32
10时29分58秒 253976332 257728264   3814088      1.45     77636   5180728   8345076      3.14   2053932   6391612        64
10时29分59秒 253973472 257725404   3816880      1.45     77636   5180796   8345116      3.14   2053940   6397248        64
10时30分00秒 253971180 257723112   3819100      1.45     77636   5180868   8345616      3.14   2053952   6398020        68
10时30分01秒 253970360 257725316   3817344      1.45     77636   5183444   8305524      3.13   2056464   6372020       568
10时30分02秒 253972968 257727944   3814096      1.45     77636   5183920   8325956      3.13   2056932   6374016       232
10时30分03秒 253980440 257735416   3806352      1.44     77644   5184176   8314664      3.13   2056940   6368096       256
10时30分04秒 253971092 257726076   3815684      1.45     77644   5184184   8343608      3.14   2056948   6392136       256
10时30分05秒 253969612 257724596   3817148      1.45     77644   5184200   8343816      3.14   2056956   6396648       260
10时30分06秒 253968824 257723812   3817928      1.45     77644   5184208   8343824      3.14   2056948   6396716       228
10时30分07秒 253966248 257724260   3817976      1.45     77644   5186736   8310504      3.13   2059464   6375052       232
10时30分08秒 253968988 257727028   3814652      1.45     77656   5187208   8328428      3.13   2059936   6376776       256
10时30分09秒 253968972 257727020   3814560      1.45     77656   5187284   8328444      3.13   2059928   6380548       256
10时30分10秒 253968736 257726784   3814756      1.45     77656   5187316   8342552      3.14   2059932   6391524       256
10时30分11秒 253963908 257721956   3819560      1.45     77656   5187332   8342780      3.14   2059944   6396268       260
10时30分12秒 253962948 257721000   3820524      1.45     77656   5187328   8342784      3.14   2059936   6395208       260
10时30分13秒 253961428 257722512   3819512      1.45     77664   5189852   8314736      3.13   2062460   6379000       260
10时30分14秒 253962696 257723776   3817688      1.45     77664   5190308   8330856      3.14   2062912   6380300       260
10时30分15秒 253965240 257726320   3815064      1.45     77664   5190380   8330864      3.14   2062904   6383696       260
10时30分16秒 253968232 257729316   3812028      1.45     77664   5190416   8342312      3.14   2062900   6391464        20
10时30分17秒 253963364 257724448   3816892      1.45     77664   5190420   8342520      3.14   2062908   6395608        20
10时30分18秒 253961624 257722712   3818616      1.45     77672   5190428   8342536      3.14   2062908   6396432        60
10时30分19秒 253965396 257726488   3814800      1.45     77672   5190440   8334228      3.14   2062912   6391152        60
10时30分20秒 253965320 257729436   3811808      1.45     77672   5193432   8327424      3.13   2065872   6367212        68
10时30分21秒 253964328 257728444   3812812      1.45     77672   5193452   8327512      3.13   2065888   6377876        44
10时30分22秒 253968184 257732300   3808888      1.45     77672   5193520   8337180      3.14   2065876   6381852        52
10时30分23秒 253960592 257724720   3816396      1.45     77684   5193592   8342592      3.14   2065896   6392776        64
10时30分24秒 253942072 257706200   3834884      1.45     77684   5193624   8345044      3.14   2065888   6414240        64
10时30分25秒 253939792 257703920   3837128      1.46     77684   5193660   8345520      3.14   2065896   6416284        64
10时30分26秒 253938856 257706012   3835528      1.46     77684   5196196   8307412      3.13   2068408   6390492        68
10时30分27秒 253943156 257710312   3830640      1.45     77684   5196660   8331744      3.14   2068848   6396960        68
10时30分28秒 253941204 257708368   3832452      1.45     77692   5196784   8331784      3.14   2068856   6400556        92
10时30分29秒 253962608 257729772   3810960      1.45     77692   5196872   8340576      3.14   2068868   6389036        92
10时30分30秒 253959828 257726992   3813700      1.45     77692   5196896   8340716      3.14   2068856   6393756        92
10时30分31秒 253960136 257727304   3813392      1.45     77692   5196896   8340888      3.14   2068844   6394144        96
10时30分32秒 253957260 257727452   3813724      1.45     77692   5199440   8299688      3.12   2071384   6368752        96
10时30分33秒 253961048 257731220   3809372      1.45     77700   5199904   8321700      3.13   2071812   6371088        96
10时30分34秒 253961444 257731624   3808900      1.45     77700   5199972   8321740      3.13   2071812   6374968        96
10时30分35秒 253959568 257729748   3810732      1.45     77700   5200024   8340884      3.14   2071824   6390704        96
10时30分36秒 253959696 257729876   3810584      1.45     77700   5200044   8341052      3.14   2071812   6393304        96
10时30分37秒 253958032 257728212   3812228      1.45     77700   5200064   8341064      3.14   2071816   6395368       100
10时30分38秒 253960112 257730292   3810124      1.45     77708   5200080   8333420      3.14   2071816   6388984       100
10时30分39秒 253959772 257732948   3807360      1.44     77708   5203028   8321712      3.13   2074764   6361156       100
10时30分40秒 253959512 257732688   3807604      1.44     77708   5203044   8322388      3.13   2074760   6371344       100
10时30分41秒 253961616 257734792   3805420      1.44     77708   5203124   8337048      3.14   2074756   6380480       100
