Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时05分30秒 218389056 217603912  44110996     16.73     43752    835560  62426132     23.50    220976  44095840       232
15时05分31秒 218389316 217604184  44110696     16.73     43752    835584  62428456     23.50    220988  44096976       232
15时05分32秒 218386076 217600948  44113984     16.74     43760    835584  62430856     23.50    220996  44099044        12
15时05分33秒 218386088 217600960  44113920     16.74     43760    835636  62430856     23.50    220984  44100020        12
15时05分34秒 218184224 217399120  44315776     16.81     43760    835676  62638688     23.58    220996  44305100        12
15时05分35秒 218179356 217394288  44318652     16.81     43760    837580  62640336     23.58    220988  44308980        12
15时05分36秒 218178308 217393240  44318304     16.81     43760    838940  62640776     23.58    220988  44310624        12
15时05分37秒 218176556 217391492  44319780     16.81     43768    839236  62640776     23.58    220988  44311188        20
15时05分38秒 218176068 217391008  44320268     16.81     43768    839236  62641576     23.58    220988  44311816        20
15时05分39秒 218175068 217390008  44321268     16.81     43768    839236  62641576     23.58    221004  44311836        20
15时05分40秒 217989824 217204764  44506496     16.88     43768    839236  62829412     23.65    221004  44496360        20
15时05分41秒 217882756 217097712  44612020     16.92     43768    840812  62993796     23.71    220996  44605524        20
15时05分42秒 217884040 217099000  44609672     16.92     43776    841868  62933468     23.69    221012  44603848        20
15时05分43秒 217715972 216930936  44777016     16.99     43776    842640  63108800     23.75    221000  44774956        20
15时05分44秒 217709192 216924156  44783804     16.99     43776    842640  63117372     23.76    221012  44781460        20
15时05分45秒 217706096 216921060  44786900     16.99     43776    842640  63122172     23.76    221012  44786108        20
15时05分46秒 217702504 216917468  44790428     16.99     43776    842640  63122172     23.76    221000  44787692        20
15时05分47秒 217307092 216522064  45185800     17.14     43784    842640  63521712     23.91    221012  45185336        12
15时05分48秒 217279008 216494204  45212084     17.15     43992    843908  63521844     23.91    221228  45195208       192
15时05分49秒 217264668 216479880  45226296     17.16     43992    844068  63552436     23.92    221216  45219616       192
15时05分50秒 217260864 216476084  45230068     17.16     43992    844068  63561728     23.92    221220  45225396       192
15时05分51秒 217255464 216470684  45235464     17.16     43992    844072  63565152     23.92    221228  45229980       196
15时05分52秒 217252940 216468164  45237888     17.16     44000    844072  63566816     23.93    221240  45232008       212
15时05分53秒 216847032 216062256  45643876     17.32     44000    844072  63982748     24.08    221228  45646068       212
15时05分54秒 216842740 216057964  45646660     17.32     44000    845580  63984460     24.08    221224  45651272       212
15时05分55秒 216841132 216056368  45647944     17.32     44000    845784  63984460     24.08    221240  45651524       212
15时05分56秒 216841124 216056360  45647952     17.32     44000    845784  63984460     24.08    221240  45652424       212
15时05分57秒 216840172 216055408  45648960     17.32     44008    845784  63984464     24.08    221232  45653432       212
15时05分58秒 216837580 216052816  45651484     17.32     44008    845788  63986000     24.08    221240  45654940       212
